question_id,model_name,avg_score,question
701,medgemma,0.782,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
702,medgemma,0.945,LYMPH NODE(S) FROM PRIOR PROCEDURES
703,medgemma,0.778,SPREAD THROUGH AIR SPACES (STAS)
704,medgemma,0.692,TUMOR FOCALITY
705,medgemma,0.73,NODAL SITE(S) EXAMINED
706,medgemma,0.89,TUMOR SITE
707,medgemma,0.778,VISCERAL PLEURA INVASION
708,medgemma,0.778,VISCERAL PLEURA INVASION
709,medgemma,0.872,PROCEDURE
710,medgemma,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
711,medgemma,0.811,TUMOR FOCALITY
712,medgemma,0.829,REGIONAL LYMPH NODE STATUS
713,medgemma,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
714,medgemma,0.738,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
715,medgemma,0.706,LYMPH NODE(S) FROM PRIOR PROCEDURES
716,medgemma,0.698,SPECIMEN LATERALITY
717,medgemma,0.862,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
718,medgemma,0.847,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
719,medgemma,0.675,NODAL SITE(S) EXAMINED
720,medgemma,0.89,TUMOR SITE
721,medgemma,0.904,HISTOLOGIC GRADE
722,medgemma,0.691,SPREAD THROUGH AIR SPACES (STAS)
723,medgemma,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
724,medgemma,0.716,PROCEDURE
725,medgemma,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
726,medgemma,0.742,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
727,medgemma,0.716,LYMPH NODE(S) FROM PRIOR PROCEDURES
728,medgemma,0.865,TUMOR SITE
729,medgemma,0.836,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
730,medgemma,0.688,NODAL SITE(S) EXAMINED
731,medgemma,0.699,NUMBER OF LYMPH NODES EXAMINED
732,medgemma,0.904,HISTOLOGIC GRADE
733,medgemma,0.815,REGIONAL LYMPH NODE STATUS
734,medgemma,0.811,TUMOR FOCALITY
735,medgemma,0.778,VISCERAL PLEURA INVASION
736,medgemma,0.698,SPECIMEN LATERALITY
737,medgemma,0.862,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
738,medgemma,0.845,PROCEDURE
739,medgemma,0.89,TUMOR SITE
740,medgemma,0.862,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
741,medgemma,0.902,ADDITIONAL FINDINGS
742,medgemma,0.831,HISTOLOGIC GRADE
743,medgemma,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
744,medgemma,0.815,REGIONAL LYMPH NODE STATUS
745,medgemma,0.798,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
746,medgemma,0.945,LYMPH NODE(S) FROM PRIOR PROCEDURES
747,medgemma,0.778,SPREAD THROUGH AIR SPACES (STAS)
748,medgemma,0.778,VISCERAL PLEURA INVASION
749,medgemma,0.749,NODAL SITE(S) EXAMINED
750,medgemma,0.697,SPECIMEN LATERALITY
751,medgemma,0.709,NUMBER OF LYMPH NODES EXAMINED
752,medgemma,0.716,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
753,medgemma,0.811,TUMOR FOCALITY
754,medgemma,0.841,MARGIN STATUS FOR INVASIVE CARCINOMA
755,medgemma,0.904,HISTOLOGIC GRADE
756,medgemma,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
757,medgemma,0.7,NUMBER OF LYMPH NODES EXAMINED
758,medgemma,0.829,REGIONAL LYMPH NODE STATUS
759,medgemma,0.694,PROCEDURE
760,medgemma,0.811,TUMOR FOCALITY
761,medgemma,0.702,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
762,medgemma,0.705,NODAL SITE(S) EXAMINED
763,medgemma,0.691,SPREAD THROUGH AIR SPACES (STAS)
764,medgemma,0.697,SPECIMEN LATERALITY
765,medgemma,0.694,ADDITIONAL FINDINGS
766,medgemma,0.82,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
767,medgemma,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
768,medgemma,0.778,VISCERAL PLEURA INVASION
769,medgemma,0.945,LYMPH NODE(S) FROM PRIOR PROCEDURES
770,medgemma,0.89,TUMOR SITE
771,medgemma,0.79,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
772,medgemma,0.945,LYMPH NODE(S) FROM PRIOR PROCEDURES
773,medgemma,0.778,VISCERAL PLEURA INVASION
774,medgemma,0.742,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
775,medgemma,0.7,NUMBER OF LYMPH NODES WITH TUMOR
776,medgemma,0.811,TUMOR FOCALITY
777,medgemma,0.701,NUMBER OF LYMPH NODES WITH TUMOR
778,medgemma,0.736,NODAL SITE(S) EXAMINED
779,medgemma,0.89,TUMOR SITE
780,medgemma,0.739,NODAL SITE(S) WITH TUMOR
781,medgemma,0.797,HISTOLOGIC GRADE
782,medgemma,0.796,PROCEDURE
783,medgemma,0.697,SPECIMEN LATERALITY
784,medgemma,0.78,REGIONAL LYMPH NODE STATUS
785,medgemma,0.7,SPREAD THROUGH AIR SPACES (STAS)
786,medgemma,0.714,NODAL SITE(S) EXAMINED
787,medgemma,0.82,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
788,medgemma,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
789,medgemma,0.757,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
790,medgemma,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
791,medgemma,0.699,NUMBER OF LYMPH NODES EXAMINED
792,medgemma,0.797,HISTOLOGIC GRADE
793,medgemma,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
794,medgemma,0.89,TUMOR SITE
795,medgemma,0.738,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
796,medgemma,0.706,LYMPH NODE(S) FROM PRIOR PROCEDURES
797,medgemma,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
798,medgemma,0.831,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
799,medgemma,0.811,TUMOR FOCALITY
800,medgemma,0.701,NUMBER OF LYMPH NODES EXAMINED
801,medgemma,0.78,REGIONAL LYMPH NODE STATUS
802,medgemma,0.728,NODAL SITE(S) EXAMINED
803,medgemma,0.7,NUMBER OF LYMPH NODES WITH TUMOR
804,medgemma,0.778,VISCERAL PLEURA INVASION
805,medgemma,0.728,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
806,medgemma,0.697,SPECIMEN LATERALITY
807,medgemma,0.788,PROCEDURE
808,medgemma,0.69,LYMPHOVASCULAR INVASION
809,medgemma,0.778,TUMOR SITE
810,medgemma,0.862,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
811,medgemma,0.714,LYMPHOVASCULAR INVASION
812,medgemma,0.721,NODAL SITE(S) EXAMINED
813,medgemma,0.716,LYMPH NODE(S) FROM PRIOR PROCEDURES
814,medgemma,0.701,SPREAD THROUGH AIR SPACES (STAS)
815,medgemma,0.818,HISTOLOGIC GRADE
816,medgemma,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
817,medgemma,0.767,PROCEDURE
818,medgemma,0.697,SPECIMEN LATERALITY
819,medgemma,0.701,NUMBER OF LYMPH NODES EXAMINED
820,medgemma,0.716,REGIONAL LYMPH NODE STATUS
821,medgemma,0.698,VISCERAL PLEURA INVASION
822,medgemma,0.811,TUMOR FOCALITY
823,medgemma,0.741,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
824,medgemma,0.824,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
825,medgemma,0.706,LYMPH NODE(S) FROM PRIOR PROCEDURES
826,medgemma,0.78,REGIONAL LYMPH NODE STATUS
827,medgemma,0.698,SPECIMEN LATERALITY
828,medgemma,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
829,medgemma,0.778,VISCERAL PLEURA INVASION
830,medgemma,0.692,TUMOR FOCALITY
831,medgemma,0.72,NUMBER OF LYMPH NODES WITH TUMOR
832,medgemma,0.83,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
833,medgemma,0.739,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
834,medgemma,0.847,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
835,medgemma,0.697,NUMBER OF LYMPH NODES EXAMINED
836,medgemma,0.788,PROCEDURE
837,medgemma,0.722,NODAL SITE(S) EXAMINED
838,medgemma,0.89,TUMOR SITE
839,medgemma,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
840,medgemma,0.73,NODAL SITE(S) WITH TUMOR
841,medgemma,0.709,NODAL SITE(S) EXAMINED
842,medgemma,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
843,medgemma,0.843,ADDITIONAL FINDINGS
844,medgemma,0.815,REGIONAL LYMPH NODE STATUS
845,medgemma,0.706,LYMPH NODE(S) FROM PRIOR PROCEDURES
846,medgemma,0.671,TUMOR SITE
847,medgemma,0.815,HISTOLOGIC GRADE
848,medgemma,0.778,VISCERAL PLEURA INVASION
849,medgemma,0.736,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
850,medgemma,0.712,TUMOR FOCALITY
851,medgemma,0.827,PROCEDURE
852,medgemma,0.874,MARGIN STATUS FOR INVASIVE CARCINOMA
853,medgemma,0.764,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
854,medgemma,0.7,NUMBER OF LYMPH NODES EXAMINED
855,medgemma,0.698,SPECIMEN LATERALITY
856,medgemma,0.862,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
857,medgemma,0.679,SPREAD THROUGH AIR SPACES (STAS)
858,medgemma,0.701,SPREAD THROUGH AIR SPACES (STAS)
859,medgemma,0.705,HISTOLOGIC GRADE
860,medgemma,0.672,LYMPHOVASCULAR INVASION
861,medgemma,0.65,NODAL SITE(S) WITH TUMOR
862,medgemma,0.704,VISCERAL PLEURA INVASION
863,medgemma,0.683,LYMPH NODE(S) FROM PRIOR PROCEDURES
864,medgemma,0.711,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
865,medgemma,0.833,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
866,medgemma,0.788,PROCEDURE
867,medgemma,0.728,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
868,medgemma,0.698,SPECIMEN LATERALITY
869,medgemma,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
870,medgemma,0.715,NUMBER OF LYMPH NODES EXAMINED
871,medgemma,0.698,NODAL SITE(S) EXAMINED
872,medgemma,0.78,REGIONAL LYMPH NODE STATUS
873,medgemma,0.706,MARGIN STATUS FOR NON-INVASIVE TUMOR
874,medgemma,0.698,NUMBER OF LYMPH NODES WITH TUMOR
875,medgemma,0.712,TUMOR FOCALITY
876,medgemma,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
877,medgemma,0.778,VISCERAL PLEURA INVASION
878,medgemma,0.666,NODAL SITE(S) EXAMINED
879,medgemma,0.698,SPECIMEN LATERALITY
880,medgemma,0.827,PROCEDURE
881,medgemma,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
882,medgemma,0.82,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
883,medgemma,0.862,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
884,medgemma,0.797,HISTOLOGIC GRADE
885,medgemma,0.815,REGIONAL LYMPH NODE STATUS
886,medgemma,0.778,SPREAD THROUGH AIR SPACES (STAS)
887,medgemma,0.805,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
888,medgemma,0.945,LYMPH NODE(S) FROM PRIOR PROCEDURES
889,medgemma,0.865,TUMOR SITE
890,medgemma,0.692,TUMOR FOCALITY
891,medgemma,0.701,NUMBER OF LYMPH NODES EXAMINED
892,medgemma,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
893,medgemma,0.831,PROCEDURE
894,medgemma,0.811,TUMOR FOCALITY
895,medgemma,0.697,SPECIMEN LATERALITY
896,medgemma,0.706,MARGIN STATUS FOR NON-INVASIVE TUMOR
897,medgemma,0.715,NUMBER OF LYMPH NODES WITH TUMOR
898,medgemma,0.78,VISCERAL PLEURA INVASION
899,medgemma,0.745,LYMPHOVASCULAR INVASION
900,medgemma,0.714,NODAL SITE(S) EXAMINED
901,medgemma,0.892,HISTOLOGIC GRADE
902,medgemma,0.728,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
903,medgemma,0.701,SPREAD THROUGH AIR SPACES (STAS)
904,medgemma,0.761,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
905,medgemma,0.709,MARGIN STATUS FOR INVASIVE CARCINOMA
906,medgemma,0.739,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
907,medgemma,0.719,NODAL SITE(S) WITH TUMOR
908,medgemma,0.78,REGIONAL LYMPH NODE STATUS
909,medgemma,0.881,TUMOR SITE
910,medgemma,0.945,LYMPH NODE(S) FROM PRIOR PROCEDURES
911,medgemma,0.676,SPREAD THROUGH AIR SPACES (STAS)
912,medgemma,0.733,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
913,medgemma,0.904,HISTOLOGIC GRADE
914,medgemma,0.815,REGIONAL LYMPH NODE STATUS
915,medgemma,0.817,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
916,medgemma,0.818,PROCEDURE
917,medgemma,0.693,NUMBER OF LYMPH NODES EXAMINED
918,medgemma,0.706,MARGIN STATUS FOR NON-INVASIVE TUMOR
919,medgemma,0.698,SPECIMEN LATERALITY
920,medgemma,0.811,TUMOR FOCALITY
921,medgemma,0.823,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
922,medgemma,0.697,NODAL SITE(S) EXAMINED
923,medgemma,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
924,medgemma,0.778,VISCERAL PLEURA INVASION
925,medgemma,0.865,TUMOR SITE
926,medgemma,0.706,MARGIN STATUS FOR NON-INVASIVE TUMOR
927,medgemma,0.735,NODAL SITE(S) WITH TUMOR
928,medgemma,0.735,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
929,medgemma,0.89,TUMOR SITE
930,medgemma,0.739,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
931,medgemma,0.945,LYMPH NODE(S) FROM PRIOR PROCEDURES
932,medgemma,0.67,SPREAD THROUGH AIR SPACES (STAS)
933,medgemma,0.892,HISTOLOGIC GRADE
934,medgemma,0.78,REGIONAL LYMPH NODE STATUS
935,medgemma,0.78,VISCERAL PLEURA INVASION
936,medgemma,0.745,LYMPHOVASCULAR INVASION
937,medgemma,0.704,NUMBER OF LYMPH NODES EXAMINED
938,medgemma,0.698,SPECIMEN LATERALITY
939,medgemma,0.756,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
940,medgemma,0.684,NODAL SITE(S) EXAMINED
941,medgemma,0.759,PROCEDURE
942,medgemma,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
943,medgemma,0.699,NUMBER OF LYMPH NODES WITH TUMOR
944,medgemma,0.811,TUMOR FOCALITY
945,medgemma,0.707,NUMBER OF LYMPH NODES WITH TUMOR
946,medgemma,0.865,TUMOR SITE
947,medgemma,0.742,NODAL SITE(S) EXAMINED
948,medgemma,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
949,medgemma,0.706,MARGIN STATUS FOR NON-INVASIVE TUMOR
950,medgemma,0.778,VISCERAL PLEURA INVASION
951,medgemma,0.862,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
952,medgemma,0.818,HISTOLOGIC GRADE
953,medgemma,0.703,NUMBER OF LYMPH NODES EXAMINED
954,medgemma,0.78,REGIONAL LYMPH NODE STATUS
955,medgemma,0.778,SPREAD THROUGH AIR SPACES (STAS)
956,medgemma,0.795,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
957,medgemma,0.831,PROCEDURE
958,medgemma,0.784,NODAL SITE(S) WITH TUMOR
959,medgemma,0.822,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
960,medgemma,0.945,LYMPH NODE(S) FROM PRIOR PROCEDURES
961,medgemma,0.697,SPECIMEN LATERALITY
962,medgemma,0.811,TUMOR FOCALITY
963,medgemma,0.847,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
964,medgemma,0.706,LYMPH NODE(S) FROM PRIOR PROCEDURES
965,medgemma,0.72,NUMBER OF LYMPH NODES WITH TUMOR
966,medgemma,0.788,PROCEDURE
967,medgemma,0.892,HISTOLOGIC GRADE
968,medgemma,0.78,REGIONAL LYMPH NODE STATUS
969,medgemma,0.722,NUMBER OF LYMPH NODES EXAMINED
970,medgemma,0.706,MARGIN STATUS FOR NON-INVASIVE TUMOR
971,medgemma,0.68,NODAL SITE(S) EXAMINED
972,medgemma,0.778,VISCERAL PLEURA INVASION
973,medgemma,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
974,medgemma,0.687,NODAL SITE(S) WITH TUMOR
975,medgemma,0.741,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
976,medgemma,0.811,TUMOR FOCALITY
977,medgemma,0.802,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
978,medgemma,0.712,TUMOR SITE
979,medgemma,0.698,SPECIMEN LATERALITY
980,medgemma,0.7,SPREAD THROUGH AIR SPACES (STAS)
981,medgemma,0.778,SPREAD THROUGH AIR SPACES (STAS)
982,medgemma,0.862,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
983,medgemma,0.698,SPECIMEN LATERALITY
984,medgemma,0.817,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
985,medgemma,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
986,medgemma,0.695,NUMBER OF LYMPH NODES EXAMINED
987,medgemma,0.778,VISCERAL PLEURA INVASION
988,medgemma,0.945,LYMPH NODE(S) FROM PRIOR PROCEDURES
989,medgemma,0.89,TUMOR SITE
990,medgemma,0.815,REGIONAL LYMPH NODE STATUS
991,medgemma,0.797,HISTOLOGIC GRADE
992,medgemma,0.811,TUMOR FOCALITY
993,medgemma,0.709,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
994,medgemma,0.68,NODAL SITE(S) EXAMINED
995,medgemma,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
996,medgemma,0.872,PROCEDURE
997,medgemma,0.811,TUMOR FOCALITY
998,medgemma,0.716,LYMPH NODE(S) FROM PRIOR PROCEDURES
999,medgemma,0.717,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
1000,medgemma,0.89,TUMOR SITE
1001,medgemma,0.754,NODAL SITE(S) EXAMINED
1002,medgemma,0.827,PROCEDURE
1003,medgemma,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
1004,medgemma,0.892,HISTOLOGIC GRADE
1005,medgemma,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
1006,medgemma,0.697,SPECIMEN LATERALITY
1007,medgemma,0.716,REGIONAL LYMPH NODE STATUS
1008,medgemma,0.778,SPREAD THROUGH AIR SPACES (STAS)
1009,medgemma,0.778,VISCERAL PLEURA INVASION
1010,medgemma,0.862,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
1011,medgemma,0.826,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
1012,medgemma,0.702,LYMPHOVASCULAR INVASION
1013,medgemma,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
1014,medgemma,0.788,PROCEDURE
1015,medgemma,0.698,SPECIMEN LATERALITY
1016,medgemma,0.797,HISTOLOGIC GRADE
1017,medgemma,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
1018,medgemma,0.711,LYMPH NODE(S) FROM PRIOR PROCEDURES
1019,medgemma,0.696,NUMBER OF LYMPH NODES EXAMINED
1020,medgemma,0.89,TUMOR SITE
1021,medgemma,0.709,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
1022,medgemma,0.7,VISCERAL PLEURA INVASION
1023,medgemma,0.715,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
1024,medgemma,0.738,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
1025,medgemma,0.815,REGIONAL LYMPH NODE STATUS
1026,medgemma,0.896,ADDITIONAL FINDINGS
1027,medgemma,0.638,NODAL SITE(S) EXAMINED
1028,medgemma,0.811,TUMOR FOCALITY
1029,medgemma,0.798,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
1030,medgemma,0.904,HISTOLOGIC GRADE
1031,medgemma,0.793,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
1032,medgemma,0.89,TUMOR SITE
1033,medgemma,0.778,VISCERAL PLEURA INVASION
1034,medgemma,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
1035,medgemma,0.815,REGIONAL LYMPH NODE STATUS
1036,medgemma,0.72,NUMBER OF LYMPH NODES EXAMINED
1037,medgemma,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
1038,medgemma,0.778,SPREAD THROUGH AIR SPACES (STAS)
1039,medgemma,0.811,TUMOR FOCALITY
1040,medgemma,0.804,NODAL SITE(S) EXAMINED
1041,medgemma,0.945,LYMPH NODE(S) FROM PRIOR PROCEDURES
1042,medgemma,0.697,SPECIMEN LATERALITY
1043,medgemma,0.734,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
1044,medgemma,0.827,PROCEDURE
1045,medgemma,0.698,ADDITIONAL FINDINGS
1046,medgemma,0.868,ADDITIONAL FINDINGS
1047,medgemma,0.827,PROCEDURE
1048,medgemma,0.778,VISCERAL PLEURA INVASION
1049,medgemma,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
1050,medgemma,0.904,HISTOLOGIC GRADE
1051,medgemma,0.945,LYMPH NODE(S) FROM PRIOR PROCEDURES
1052,medgemma,0.815,REGIONAL LYMPH NODE STATUS
1053,medgemma,0.835,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
1054,medgemma,0.697,SPECIMEN LATERALITY
1055,medgemma,0.862,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
1056,medgemma,0.792,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
1057,medgemma,0.89,TUMOR SITE
1058,medgemma,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
1059,medgemma,0.718,SPREAD THROUGH AIR SPACES (STAS)
1060,medgemma,0.778,NODAL SITE(S) EXAMINED
1061,medgemma,0.811,TUMOR FOCALITY
1062,medgemma,0.831,PROCEDURE
1063,medgemma,0.89,TUMOR SITE
1064,medgemma,0.691,NODAL SITE(S) EXAMINED
1065,medgemma,0.778,SPREAD THROUGH AIR SPACES (STAS)
1066,medgemma,0.738,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
1067,medgemma,0.698,SPECIMEN LATERALITY
1068,medgemma,0.78,VISCERAL PLEURA INVASION
1069,medgemma,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
1070,medgemma,0.707,TNM DESCRIPTORS
1071,medgemma,0.811,TUMOR FOCALITY
1072,medgemma,0.713,ADDITIONAL FINDINGS
1073,medgemma,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
1074,medgemma,0.725,HISTOLOGIC GRADE
1075,medgemma,0.945,LYMPH NODE(S) FROM PRIOR PROCEDURES
1076,medgemma,0.728,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
1077,medgemma,0.745,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
1078,medgemma,0.716,REGIONAL LYMPH NODE STATUS
1079,medgemma,0.862,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
1080,medgemma,0.7,VISCERAL PLEURA INVASION
1081,medgemma,0.706,LYMPH NODE(S) FROM PRIOR PROCEDURES
1082,medgemma,0.822,ADDITIONAL FINDINGS
1083,medgemma,0.827,PROCEDURE
1084,medgemma,0.698,SPECIMEN LATERALITY
1085,medgemma,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
1086,medgemma,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
1087,medgemma,0.833,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
1088,medgemma,0.649,TUMOR FOCALITY
1089,medgemma,0.865,TUMOR SITE
1090,medgemma,0.777,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
1091,medgemma,0.892,HISTOLOGIC GRADE
1092,medgemma,0.702,LYMPHOVASCULAR INVASION
1093,medgemma,0.811,TUMOR FOCALITY
1094,medgemma,0.78,VISCERAL PLEURA INVASION
1095,medgemma,0.749,NODAL SITE(S) WITH TUMOR
1096,medgemma,0.707,SPREAD THROUGH AIR SPACES (STAS)
1097,medgemma,0.697,SPECIMEN LATERALITY
1098,medgemma,0.739,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
1099,medgemma,0.808,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
1100,medgemma,0.72,NUMBER OF LYMPH NODES WITH TUMOR
1101,medgemma,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
1102,medgemma,0.78,REGIONAL LYMPH NODE STATUS
1103,medgemma,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
1104,medgemma,0.89,TUMOR SITE
1105,medgemma,0.831,PROCEDURE
1106,medgemma,0.706,NODAL SITE(S) EXAMINED
1107,medgemma,0.945,LYMPH NODE(S) FROM PRIOR PROCEDURES
1108,medgemma,0.817,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
1109,medgemma,0.716,REGIONAL LYMPH NODE STATUS
1110,medgemma,0.945,LYMPH NODE(S) FROM PRIOR PROCEDURES
1111,medgemma,0.778,VISCERAL PLEURA INVASION
1112,medgemma,0.728,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
1113,medgemma,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
1114,medgemma,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
1115,medgemma,0.865,TUMOR SITE
1116,medgemma,0.826,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
1117,medgemma,0.698,SPECIMEN LATERALITY
1118,medgemma,0.825,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
1119,medgemma,0.797,HISTOLOGIC GRADE
1120,medgemma,0.696,NODAL SITE(S) EXAMINED
1121,medgemma,0.803,PROCEDURE
1122,medgemma,0.692,TUMOR FOCALITY
1123,medgemma,0.778,SPREAD THROUGH AIR SPACES (STAS)
1124,medgemma,0.815,REGIONAL LYMPH NODE STATUS
1125,medgemma,0.945,LYMPH NODE(S) FROM PRIOR PROCEDURES
1126,medgemma,0.712,NODAL SITE(S) EXAMINED
1127,medgemma,0.819,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
1128,medgemma,0.851,ADDITIONAL FINDINGS
1129,medgemma,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
1130,medgemma,0.705,SPECIMEN LATERALITY
1131,medgemma,0.89,TUMOR SITE
1132,medgemma,0.706,MARGIN STATUS FOR NON-INVASIVE TUMOR
1133,medgemma,0.862,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
1134,medgemma,0.713,NUMBER OF LYMPH NODES EXAMINED
1135,medgemma,0.833,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
1136,medgemma,0.778,VISCERAL PLEURA INVASION
